Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,MA5,MA10,MA5_Capacity,BR5,BR10,High-Low,Open-Close,EMA5,EMA10,K,D,MACD,MACD_signal,MACD_hist,RSI14,STD20,ADX,RSI,DJI,NASDAQ,SOX,SPX,ADR,twclose,twopen,Movement,rate
2014-03-13,59080824,6890677534,116.5,117.5,115.5,116.5,3.5,16969,114.2,111.75,42405113.4,2.0140105078809083,4.250559284116331,2.0,0.0,114.01384033051396,112.33874878517142,85.9903381642512,84.83628556092323,2.395440658466597,1.720795308044676,0.6746453504219214,70.4883395959003,3.2032056312043355,17.780330874741765,70.48833959590033,16108.89,4260.42,565.1,1846.3,19.27,8747.79,8697.73,1,0.0
2014-03-14,47105032,5396134366,115.0,115.5,114.0,115.0,-1.5,12132,114.3,112.45,38442770.0,0.6124234470691189,2.26767452200978,1.5,0.0,114.34256022034263,112.82261264241296,82.4476650563607,83.30649490069779,2.4724602921906325,1.871128304873868,0.6013319873167651,64.9450348319844,3.2359005904954,18.413178869767474,64.9450348319844,16065.67,4245.4,562.5,1841.1,18.9,8687.63,8697.26,0,0.0
2014-03-17,33910334,3854652365,114.5,115.0,113.0,114.0,-1.0,8995,114.5,113.05,37538769.2,-0.4366812227074235,0.8403361344537841,2.0,0.5,114.22837348022844,113.03668307106514,79.2490118577075,82.56233835943979,2.4248550446275345,1.9818736528246008,0.4429813918029337,61.47417096273865,3.2922356825511607,18.473891885571216,61.474170962738654,16247.22,4279.95,569.5,1858.8,19.11,8700.1,8747.38,0,0.4385964912280604
2014-03-18,37517456,4285097984,114.5,115.0,113.5,114.5,0.5,7396,114.6,113.75,39205683.4,-0.087260034904009,0.6593406593406593,1.5,0.0,114.31891565348565,113.30274069450785,73.0566534914361,78.25111013516809,2.399809850159258,2.065460892291532,0.3343489578677259,62.55181923912308,3.384465284671601,18.53026825738897,62.55181923912307,16336.19,4333.31,577.2,1872.2,19.18,8731.94,8745.02,1,0.0
2014-03-19,35237094,4023833316,114.5,115.0,113.5,114.5,0.0,6589,114.9,114.2,42570148.0,-0.3481288076588387,0.2626970227670728,1.5,0.0,114.37927710232378,113.5204242045973,71.21212121212122,74.50592885375494,2.352839286400254,2.1229365711132764,0.2299027152869777,62.55181923912307,3.4259074863826027,18.582617745505463,62.55181923912307,16222.17,4307.6,576.7,1860.8,18.88,8689.46,8638.59,1,0.0
2014-03-20,46512209,5232891154,113.0,113.5,112.0,112.0,-2.5,13078,114.0,114.1,40056425.0,-1.7543859649122806,-1.840490797546008,1.5,1.0,113.58618473488252,113.24398344012506,65.15151515151516,69.80676328502415,2.0897958044078706,2.116308417772195,-0.0265126133643245,53.82167142104948,3.357630743621974,17.793022267523803,53.82167142104947,16331.05,4319.29,587.6,1872.0,18.85,8597.33,8642.82,0,0.8928571428571397
2014-03-21,60438012,6807696918,114.0,114.0,112.0,112.5,0.5,7294,113.5,113.9,42723021.0,-0.881057268722467,-1.229148375768223,2.0,1.5,113.22412315658836,113.10871372373867,57.57575757575757,64.64646464646464,1.899778309349358,2.073002396087628,-0.1732240867382697,55.16930493693953,3.17887765695438,17.28516815491169,55.169304936939525,16302.77,4276.79,582.5,1866.5,18.53,8577.17,8540.27,1,1.333333333333342
2014-03-24,29607569,3320400583,111.5,112.5,111.5,112.5,0.0,7098,113.2,113.85,41862468.0,-0.6183745583038894,-1.1857707509881374,1.0,-1.0,112.98274877105892,112.99803850124071,48.14814814814814,56.958473625140286,1.729254308271038,2.00425277852431,-0.2749984702532719,55.16930493693952,3.041381265147294,16.533414969774796,55.169304936939525,16276.69,4226.39,579.9,1857.4,18.64,8605.38,8589.19,1,-0.8888888888888835
2014-03-25,38070794,4291636589,111.5,113.5,111.5,113.5,1.0,6933,113.0,113.8,41973135.6,0.4424778761061947,-0.2636203866432312,2.0,-2.0,113.1551658473726,113.08930422828789,47.03703703703703,50.920314253647575,1.6557183608932036,1.934545894998089,-0.2788275341048853,58.011557836204425,2.8482450737232643,16.307656536173727,58.011557836204425,16367.88,4234.27,584.3,1865.6,19.12,8689.3,8741.03,1,-1.7621145374449363
2014-03-26,45234160,5211750315,115.5,116.0,114.5,115.5,2.0,12860,113.2,114.05,43972548.8,2.0318021201413403,1.2713722051731722,1.5,0.0,113.93677723158176,113.52761255041736,52.59259259259259,49.25925925925925,1.7387803011425549,1.8953927762269824,-0.1566124750844275,63.0563341300708,2.7763095534955795,17.09002062198803,63.05633413007081,16268.99,4173.58,577.8,1852.6,19.09,8737.27,8737.56,1,0.0
2014-03-27,31399282,3609273026,114.5,116.0,114.0,116.0,0.5,8641,114.0,114.0,40949963.4,1.7543859649122806,1.7543859649122806,2.0,-1.5,114.62451815438786,113.97713754125056,62.77777777777777,54.1358024691358,1.82392819961548,1.8810998609046816,-0.0571716612892017,64.21391420163083,2.625156636928477,17.51309704441367,64.21391420163083,16264.23,4151.23,573.3,1849.0,19.42,8779.57,8779.91,1,-1.2931034482758674
2014-03-28,43794489,5107684713,116.0,117.5,115.5,117.5,1.5,12521,115.0,114.25,37621258.8,2.1739130434782608,2.844638949671773,2.0,-1.5,115.58301210292524,114.6176579882959,80.55555555555554,65.30864197530863,1.989512129192676,1.9027823145622809,0.0867298146303949,67.50358503117282,2.555180496248646,18.441226449848365,67.50358503117283,16323.06,4155.76,577.5,1857.6,19.64,8774.64,8802.93,1,-1.276595744680853
2014-03-31,47146441,5550959038,118.0,118.5,116.5,118.5,1.0,8839,116.2,114.7,41129033.2,1.979345955249568,3.312990409764601,2.0,-0.5,116.55534140195016,115.32353835406028,91.66666666666666,78.33333333333331,2.176342705024481,1.9574943926547208,0.2188483123697606,69.51550488331702,2.4755382189884423,19.62729333927277,69.51550488331702,16457.66,4198.99,586.7,1872.3,20.02,8849.28,8847.34,1,-0.421940928270037
2014-04-01,40636462,4834224978,119.0,119.5,118.5,119.5,1.0,12571,117.4,115.2,41642166.8,1.788756388415668,3.732638888888886,1.0,-0.5,117.5368942679668,116.0828950169584,100.0,90.74074074074072,2.377690390305517,2.04153359218488,0.336156798120637,71.42099628053917,2.296880034900583,21.033557660513424,71.42099628053919,16532.61,4268.04,595.9,1885.5,20.32,8873.15,8906.52,1,-0.4184100418409997
2014-04-02,43684651,5238971816,120.5,121.0,119.0,120.0,0.5,9400,118.3,115.75,41332265.0,1.4370245139475932,3.67170626349892,2.0,0.5,118.35792951197789,116.79509592296594,96.49122807017542,96.05263157894734,2.54823127888406,2.142873129524716,0.4053581493593441,72.35157490311295,2.359053110664376,22.75539400393171,72.35157490311295,16573.0,4276.46,594.9,1890.9,20.04,8905.45,8902.94,1,0.4166666666666652
2014-04-03,37000420,4374998060,118.5,119.0,117.5,118.5,-1.5,10198,118.8,116.4,42452492.6,-0.2525252525252501,1.804123711340201,1.5,0.0,118.4052863413186,117.10507848242668,87.71929824561403,94.73684210526314,2.533148142825823,2.220928132184937,0.3122200106408854,65.46474430051727,2.4360235069275507,23.38309422473378,65.46474430051725,16572.55,4237.74,595.9,1888.8,19.94,8888.54,8844.91,0,0.0
2014-04-07,45254843,5305535631,117.5,118.0,116.5,117.5,-1.0,11316,118.8,116.9,42744563.4,-1.0942760942760918,0.5132591958939215,1.5,0.0,118.10352422754572,117.17688239471272,75.43859649122807,86.54970760233917,2.4126910061098243,2.259280706969915,0.1534102991399093,61.27716088494641,2.479388719229076,23.373859886739027,61.2771608849464,16245.87,4079.75,573.9,1845.0,19.74,8876.44,8878.88,0,0.0
2014-04-08,43894168,5173993549,117.0,119.5,117.0,119.0,1.5,9396,118.9,117.55,42094108.8,0.0841042893187504,1.2335176520629545,2.5,-2.0,118.4023494850305,117.50835832294676,71.9298245614035,78.3625730994152,2.4104788220034408,2.28952032997662,0.1209584920268205,64.90370685228974,2.5360557855370773,23.871759488031216,64.90370685228976,16256.14,4112.99,581.2,1852.0,19.98,8888.25,8912.39,1,-1.6806722689075682
2014-04-09,29648114,3548296766,119.5,120.0,119.0,119.0,0.0,8284,118.8,118.1,39896439.2,0.1683501683501707,0.7620660457239676,1.0,0.5,118.60156632335368,117.7795659005928,73.68421052631578,73.68421052631578,2.3812757852021065,2.307871421021717,0.0734043641803889,64.90370685228974,2.6051568293004426,24.49381130066593,64.90370685228974,16437.18,4183.9,587.7,1872.2,20.15,8930.57,8964.34,1,0.4201680672268892
2014-04-10,27215773,3243663187,119.0,119.5,118.5,119.5,0.5,7229,118.7,118.5,36602663.6,0.6739679865206379,0.8438818565400843,1.0,-0.5,118.90104421556912,118.09237210048502,80.7017543859649,75.43859649122805,2.3711449069651422,2.3205261182104024,0.0506187887547397,66.12998638056185,2.623150977854505,24.754985897422564,66.12998638056186,16170.22,4054.11,569.1,1833.1,19.82,8948.1,8900.13,1,-0.4184100418409997
2014-04-11,34847792,4153152840,118.5,120.0,118.0,120.0,0.5,7639,119.0,118.9,36172138.0,0.8403361344537815,0.9251471825063032,2.0,-1.5,119.26736281037942,118.43921353676046,84.21052631578947,79.53216374269005,2.376072054705816,2.331635305509485,0.0444367491963304,67.35823571337845,2.752510815503019,24.99750516583944,67.35823571337846,16026.75,3999.73,560.3,1815.7,19.89,8908.05,8897.23,1,-1.2499999999999956
2014-04-14,31053034,3738450410,120.0,121.0,120.0,120.5,0.5,8739,119.6,119.2,33331776.2,0.7525083612040182,1.0906040268456352,1.0,-0.5,119.6782418735863,118.8139019846222,89.47368421052632,84.7953216374269,2.392740651315094,2.343856374670607,0.048884276644487,68.58508642258359,2.872166796209871,25.59186847031307,68.5850864225836,16173.24,4022.69,565.0,1830.6,20.26,8857.42,8898.65,1,-0.4149377593360981
2014-04-15,29397114,3579955408,121.5,122.5,121.0,122.5,2.0,9839,120.3,119.6,30432365.4,1.8287614297589383,2.4247491638796035,1.5,-1.0,120.6188279157242,119.48410162378178,94.73684210526316,89.4736842105263,2.5380765529170617,2.3827004103198983,0.1553761425971633,72.96260167493686,3.0698019822968203,26.6396116324915,72.96260167493685,16262.56,4034.16,569.0,1843.0,20.51,8916.71,8921.07,1,-0.8163265306122436
2014-04-16,51075652,6208178396,121.5,122.5,121.0,121.0,-1.5,10989,120.7,119.75,34717873.0,0.2485501242750597,1.0438413361169103,1.5,0.5,120.74588527714948,119.7597195103669,92.36326109391123,92.19126246990024,2.503361643312715,2.406832656918462,0.0965289863942531,65.58153202857463,3.118176761470802,27.612515997371474,65.58153202857466,16424.85,4086.22,567.9,1862.3,20.15,8923.82,8942.23,0,0.4132231404958775
2014-04-17,36418501,4374322920,120.5,121.5,119.0,120.0,-1.0,9152,120.8,119.75,36558418.6,-0.6622516556291367,0.208768267223382,2.5,0.5,120.497256851433,119.80340687211836,82.21288515406162,89.77099611774534,2.367862934724556,2.3990387124796806,-0.0311757777551244,61.14090518233859,3.084340755286909,27.126772989681267,61.14090518233859,16408.54,4095.52,578.4,1864.8,20.72,8944.16,8994.77,0,0.4166666666666652
